                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3646,                 1.4073,                 1.4426,                0.75945,                0.56525,                0.58891,                0.28232,                 1.8786,                 1.3535,                 1.8759,             0.00033306,             0.00033306,             0.00033306
                     35,                 1.3578,                 1.3896,                 1.4294,                0.72668,                0.57918,                0.60167,                0.28044,                 1.8996,                 1.3645,                 1.9156,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.3486,                 1.3764,                 1.4226,                0.75133,                0.57932,                0.59593,                0.26151,                 1.9858,                 1.4043,                 1.9846,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.3339,                 1.3606,                 1.4146,                0.77046,                0.56904,                0.59666,                0.28773,                 1.8279,                 1.3516,                 1.8573,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.3274,                 1.3462,                  1.402,                0.78756,                0.56862,                0.61685,                0.30765,                 1.8085,                 1.3216,                 1.8471,             0.00026106,             0.00026106,             0.00026106
                     39,                 1.3284,                 1.3535,                 1.4155,                0.75783,                0.57838,                0.60041,                0.28899,                 1.8434,                 1.3313,                 1.8763,             0.00024307,             0.00024307,             0.00024307
                     40,                 1.3166,                 1.3522,                 1.4049,                0.78104,                0.57994,                0.61823,                0.30241,                  1.865,                 1.3229,                 1.8962,             0.00022507,             0.00022507,             0.00022507
                     41,                 1.3212,                 1.2747,                 1.4265,                0.71135,                0.56796,                0.59127,                0.28293,                 1.8301,                 1.3315,                 1.8528,             0.00020707,             0.00020707,             0.00020707
                     42,                 1.2944,                  1.232,                 1.4152,                 0.7765,                0.55494,                0.60686,                0.28436,                 1.8283,                 1.3171,                 1.8484,             0.00018907,             0.00018907,             0.00018907
                     43,                 1.2834,                 1.2123,                 1.4081,                0.80844,                0.56942,                0.61669,                0.31174,                 1.7987,                 1.2495,                 1.8361,             0.00017107,             0.00017107,             0.00017107
                     44,                 1.2596,                 1.1938,                 1.3941,                0.80345,                0.56756,                0.61162,                0.28655,                 1.8568,                 1.2786,                 1.9067,             0.00015308,             0.00015308,             0.00015308
                     45,                  1.249,                 1.1752,                 1.3834,                0.78762,                0.56882,                0.61444,                0.29195,                  1.855,                 1.2803,                 1.8994,             0.00013508,             0.00013508,             0.00013508
                     46,                 1.2397,                  1.159,                 1.3688,                0.76607,                0.58024,                0.61247,                0.29423,                 1.8407,                 1.2676,                 1.8769,             0.00011708,             0.00011708,             0.00011708
                     47,                 1.2302,                 1.1434,                 1.3629,                0.77354,                0.57957,                0.61648,                0.28705,                 1.8276,                 1.2485,                 1.8795,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                 1.2257,                 1.1445,                 1.3627,                0.75769,                0.58592,                 0.6147,                0.28948,                 1.8275,                 1.2441,                 1.8826,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                  1.215,                 1.1309,                 1.3601,                0.76973,                0.58763,                0.61644,                0.29619,                 1.8336,                 1.2506,                  1.891,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                 1.2062,                 1.1287,                 1.3573,                0.78688,                0.58563,                0.61345,                0.29827,                 1.8152,                 1.2527,                 1.8675,             4.5086e-05,             4.5086e-05,             4.5086e-05
