                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97643,                 1.1462,                 1.1948,                0.86184,                0.61695,                0.70341,                 0.3713,                 1.6294,                 1.4853,                 1.6118,              0.0008944,              0.0008944,              0.0008944
                     35,                0.99196,                 1.1457,                 1.1963,                0.82137,                0.64691,                0.70128,                0.37785,                 1.5947,                 1.4529,                 1.5548,              0.0008911,              0.0008911,              0.0008911
                     36,                0.97641,                 1.1261,                 1.1856,                0.79341,                0.64937,                0.70187,                 0.3901,                 1.5662,                 1.4087,                 1.5327,              0.0008878,              0.0008878,              0.0008878
                     37,                0.97691,                 1.1346,                 1.1867,                0.81214,                0.64709,                0.71527,                0.37509,                 1.6381,                 1.4454,                  1.585,              0.0008845,              0.0008845,              0.0008845
                     38,                0.97365,                 1.1212,                 1.1842,                0.85072,                0.62978,                0.70656,                 0.3926,                 1.5423,                  1.397,                 1.5296,              0.0008812,              0.0008812,              0.0008812
                     39,                0.97331,                 1.1198,                 1.1835,                0.78503,                0.66037,                0.70711,                0.36887,                 1.6834,                 1.4085,                 1.6198,              0.0008779,              0.0008779,              0.0008779
                     40,                0.96425,                  1.099,                 1.1761,                 0.7939,                0.66055,                0.70909,                0.39755,                 1.4968,                 1.3806,                 1.4976,              0.0008746,              0.0008746,              0.0008746
                     41,                0.97063,                 1.1056,                 1.1808,                0.82995,                0.64036,                0.70532,                0.39874,                 1.5204,                   1.39,                 1.5156,              0.0008713,              0.0008713,              0.0008713
                     42,                 0.9595,                 1.0889,                 1.1704,                0.84019,                0.62771,                0.70451,                0.38651,                 1.5553,                 1.3779,                 1.5391,               0.000868,               0.000868,               0.000868
                     43,                0.95824,                 1.0856,                 1.1767,                0.84616,                0.65477,                0.71849,                0.39024,                 1.5894,                 1.3746,                 1.5622,              0.0008647,              0.0008647,              0.0008647
                     44,                0.96458,                 1.0891,                 1.1788,                 0.8342,                0.63499,                0.70709,                0.38886,                 1.5807,                 1.3662,                 1.5692,              0.0008614,              0.0008614,              0.0008614
                     45,                0.94868,                 1.0698,                 1.1671,                0.81119,                0.66737,                0.72558,                0.40003,                 1.5769,                 1.3415,                 1.5448,              0.0008581,              0.0008581,              0.0008581
                     46,                0.95011,                 1.0755,                 1.1729,                0.84626,                0.63197,                0.71728,                0.39394,                 1.5922,                 1.3443,                 1.5592,              0.0008548,              0.0008548,              0.0008548
                     47,                 0.9556,                 1.0655,                 1.1693,                 0.8294,                0.65125,                0.71928,                0.39509,                 1.5802,                 1.3358,                 1.5382,              0.0008515,              0.0008515,              0.0008515
                     48,                0.94437,                 1.0666,                 1.1683,                0.84508,                0.64341,                0.71438,                0.40072,                 1.5529,                   1.35,                 1.5309,              0.0008482,              0.0008482,              0.0008482
                     49,                0.94529,                  1.055,                 1.1656,                0.82115,                0.63599,                0.71584,                0.40627,                 1.5383,                 1.3229,                 1.5212,              0.0008449,              0.0008449,              0.0008449
                     50,                0.94247,                 1.0532,                 1.1659,                0.85341,                0.63597,                0.72647,                0.41201,                 1.5168,                 1.3308,                 1.5039,              0.0008416,              0.0008416,              0.0008416
                     51,                0.94869,                 1.0404,                 1.1614,                0.88338,                0.63974,                0.72773,                0.41296,                 1.4895,                 1.2876,                 1.4816,              0.0008383,              0.0008383,              0.0008383
                     52,                0.94198,                 1.0376,                 1.1612,                0.80396,                0.66315,                0.72069,                0.39522,                 1.5906,                  1.308,                   1.55,               0.000835,               0.000835,               0.000835
                     53,                0.93778,                 1.0371,                 1.1593,                0.83268,                0.66623,                0.72707,                0.40831,                 1.5254,                 1.2827,                 1.5211,              0.0008317,              0.0008317,              0.0008317
                     54,                0.93581,                 1.0256,                  1.156,                0.87078,                 0.6478,                0.73602,                0.40794,                 1.5433,                 1.2678,                 1.5309,              0.0008284,              0.0008284,              0.0008284
                     55,                 0.9302,                 1.0225,                 1.1563,                0.79312,                0.66783,                0.72681,                0.41194,                 1.5069,                 1.2604,                 1.5019,              0.0008251,              0.0008251,              0.0008251
                     56,                0.92706,                 1.0202,                 1.1564,                0.83725,                0.69082,                0.74862,                0.40977,                 1.5544,                 1.2513,                 1.5199,              0.0008218,              0.0008218,              0.0008218
                     57,                0.92368,                 1.0167,                 1.1556,                0.86468,                 0.6604,                0.73977,                0.41956,                  1.509,                 1.2433,                 1.5004,              0.0008185,              0.0008185,              0.0008185
                     58,                0.92042,                 1.0117,                  1.151,                0.87121,                0.64181,                0.73408,                0.42335,                 1.4871,                 1.2336,                 1.4759,              0.0008152,              0.0008152,              0.0008152
                     59,                0.91878,                 1.0056,                 1.1527,                0.85365,                0.66083,                0.73839,                0.41675,                 1.5544,                 1.2124,                 1.5119,              0.0008119,              0.0008119,              0.0008119
                     60,                0.91491,                0.99783,                 1.1464,                0.84108,                0.66009,                0.73449,                 0.4218,                 1.4759,                 1.2462,                 1.4876,              0.0008086,              0.0008086,              0.0008086
                     61,                 0.9247,                  0.995,                 1.1471,                0.85384,                0.67705,                0.73862,                0.39751,                 1.5807,                 1.2587,                 1.5462,              0.0008053,              0.0008053,              0.0008053
                     62,                0.92504,                0.99331,                 1.1451,                0.86138,                0.64885,                0.73655,                0.42509,                 1.4751,                 1.2179,                 1.4712,               0.000802,               0.000802,               0.000802
                     63,                0.90385,                0.98216,                 1.1375,                  0.816,                0.68438,                0.73378,                0.42616,                 1.5078,                 1.2172,                 1.4921,              0.0007987,              0.0007987,              0.0007987
                     64,                0.91347,                 0.9879,                  1.141,                0.85275,                0.65183,                0.73464,                0.42596,                 1.4665,                 1.2031,                 1.4554,              0.0007954,              0.0007954,              0.0007954
                     65,                0.90278,                 0.9836,                  1.138,                0.86497,                0.65377,                0.73382,                0.42364,                 1.4793,                 1.2094,                 1.4805,              0.0007921,              0.0007921,              0.0007921
                     66,                0.92288,                0.98885,                 1.1443,                0.85817,                0.66363,                0.73992,                0.41862,                 1.5461,                  1.199,                  1.525,              0.0007888,              0.0007888,              0.0007888
                     67,                0.90154,                0.96506,                 1.1336,                0.87779,                0.66421,                0.75007,                0.40729,                 1.5799,                 1.2221,                 1.5501,              0.0007855,              0.0007855,              0.0007855
                     68,                0.91165,                0.96791,                  1.142,                0.82835,                0.67354,                0.74162,                0.42801,                 1.4496,                 1.2117,                 1.4566,              0.0007822,              0.0007822,              0.0007822
                     69,                0.91063,                0.97527,                 1.1384,                0.85509,                  0.674,                0.74542,                0.42049,                 1.5349,                  1.212,                 1.5092,              0.0007789,              0.0007789,              0.0007789
                     70,                0.90081,                0.97253,                 1.1388,                 0.8466,                0.68848,                0.74751,                0.43594,                 1.4508,                 1.1737,                 1.4456,              0.0007756,              0.0007756,              0.0007756
                     71,                0.89146,                0.95799,                 1.1342,                0.83094,                0.67592,                0.73899,                0.42362,                 1.4913,                 1.1845,                 1.4863,              0.0007723,              0.0007723,              0.0007723
                     72,                 0.9007,                0.95212,                  1.134,                0.86694,                0.66532,                0.75192,                0.42332,                 1.5103,                 1.1666,                  1.501,               0.000769,               0.000769,               0.000769
                     73,                0.89607,                0.95479,                 1.1298,                0.82046,                0.68491,                0.74907,                0.41877,                 1.5334,                 1.1917,                 1.5167,              0.0007657,              0.0007657,              0.0007657
                     74,                0.90032,                0.95111,                 1.1302,                0.88234,                0.67097,                0.75824,                0.42472,                  1.528,                 1.1503,                 1.5055,              0.0007624,              0.0007624,              0.0007624
                     75,                0.88765,                0.94188,                 1.1282,                 0.8395,                0.68093,                0.74838,                0.43943,                 1.4798,                 1.1642,                 1.4746,              0.0007591,              0.0007591,              0.0007591
