                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0967,                  1.164,                 1.2897,                0.75554,                0.54942,                0.60495,                0.28718,                 1.9139,                 1.5295,                 1.9714,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0827,                 1.1462,                 1.2839,                0.72222,                0.55327,                0.61011,                0.29299,                 1.8725,                 1.5134,                 1.8893,               0.008317,               0.008317,               0.008317
                     37,                 1.1057,                  1.153,                  1.295,                0.74474,                0.55766,                0.61698,                0.29905,                 1.8661,                 1.4176,                 1.9058,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0935,                 1.1476,                   1.29,                0.75407,                 0.5862,                0.62405,                0.31704,                 1.8184,                 1.4211,                 1.8692,               0.008218,               0.008218,               0.008218
                     39,                  1.081,                 1.1224,                 1.2808,                0.79595,                0.59341,                0.66449,                0.30728,                 1.8939,                 1.3659,                 1.9411,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0792,                 1.1193,                 1.2799,                0.75411,                0.57707,                0.65083,                0.33067,                 1.7737,                 1.3197,                 1.8233,               0.008119,               0.008119,               0.008119
                     41,                   1.08,                 1.1359,                  1.283,                0.66129,                0.49246,                0.54504,                0.27118,                 1.8405,                 1.6758,                 1.9159,              0.0080695,              0.0080695,              0.0080695
                     42,                  1.076,                 1.1034,                 1.2755,                0.80073,                0.57402,                0.64989,                0.31624,                 1.8663,                 1.3214,                  1.888,                0.00802,                0.00802,                0.00802
                     43,                 1.0722,                 1.1114,                 1.2795,                 0.7869,                0.58333,                0.64707,                0.31895,                 1.8286,                 1.3157,                 1.8901,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0632,                  1.089,                 1.2631,                0.74095,                0.51533,                0.59578,                 0.2999,                 1.8126,                 1.4519,                 1.8498,               0.007921,               0.007921,               0.007921
                     45,                 1.0709,                 1.1013,                  1.273,                0.70253,                0.60954,                0.63356,                0.32352,                 1.7869,                 1.3861,                 1.8143,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0758,                  1.089,                 1.2737,                0.68815,                0.59303,                0.63993,                0.31774,                 1.7901,                 1.3921,                 1.8278,               0.007822,               0.007822,               0.007822
                     47,                 1.0765,                 1.1033,                 1.2709,                0.78376,                0.57704,                0.63719,                0.32259,                 1.7311,                 1.3505,                 1.7614,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0663,                 1.0761,                  1.264,                0.80602,                0.58571,                0.66612,                0.32835,                 1.7724,                 1.2729,                 1.8542,               0.007723,               0.007723,               0.007723
                     49,                 1.0472,                 1.0559,                 1.2531,                0.82593,                0.60407,                0.67948,                 0.3532,                  1.684,                 1.2121,                 1.7366,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0349,                 1.0527,                  1.251,                0.79203,                0.59002,                0.66232,                   0.33,                 1.7329,                 1.2684,                 1.8168,               0.007624,               0.007624,               0.007624
                     51,                 1.0475,                 1.0523,                 1.2521,                0.80504,                0.61277,                0.66581,                0.31429,                 1.8937,                 1.3109,                 1.9116,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0541,                 1.0555,                 1.2572,                0.79978,                0.57628,                0.65039,                0.32878,                 1.7768,                 1.3326,                 1.7826,               0.007525,               0.007525,               0.007525
                     53,                   1.04,                 1.0398,                 1.2483,                0.79133,                0.59436,                0.65345,                0.35037,                 1.6687,                 1.2191,                 1.7207,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0528,                  1.038,                  1.252,                0.76306,                0.63585,                0.68308,                 0.3513,                 1.7587,                 1.2438,                 1.8238,               0.007426,               0.007426,               0.007426
                     55,                 1.0335,                 1.0179,                 1.2408,                0.80468,                0.55929,                0.64066,                0.32963,                 1.7728,                 1.3672,                 1.8144,              0.0073765,              0.0073765,              0.0073765
